epoch,accuracy,f1_score,loss,precision_1,recall_1,val_accuracy,val_f1_score,val_loss,val_precision_1,val_recall_1
0,0.5502864718437195,0.5281803607940674,0.6863350868225098,0.5536977052688599,0.5348405241966248,0.6127708554267883,0.5487428307533264,0.6657212972640991,0.6296961903572083,0.5534557104110718
1,0.6086978912353516,0.5626020431518555,0.6593120694160461,0.6166675686836243,0.5818204283714294,0.6472707986831665,0.5763605833053589,0.6419048309326172,0.6602089405059814,0.6114802956581116
2,0.641921877861023,0.5876553058624268,0.6364799737930298,0.6485269665718079,0.6251881122589111,0.6684166789054871,0.5980821251869202,0.6207185983657837,0.678633987903595,0.6437946557998657
3,0.6628645658493042,0.6064921617507935,0.6180374026298523,0.6677030324935913,0.6531622409820557,0.6836041808128357,0.6147801876068115,0.6024872064590454,0.6886220574378967,0.6739491820335388
4,0.6780416369438171,0.6214414238929749,0.6014648675918579,0.681793749332428,0.6719708442687988,0.6949166655540466,0.6280489563941956,0.5868784785270691,0.6988195776939392,0.6884864568710327
5,0.6909478902816772,0.6336086392402649,0.5871111750602722,0.6929527521133423,0.6896584033966064,0.7043125033378601,0.6391910314559937,0.573587954044342,0.7055447101593018,0.7045190334320068
6,0.7014271020889282,0.6440513730049133,0.5754303932189941,0.7024399042129517,0.7025710940361023,0.7131041884422302,0.6487221717834473,0.5624419450759888,0.7123603820800781,0.7178933620452881
7,0.7107499837875366,0.6530368328094482,0.5645669102668762,0.7097646594047546,0.7165426015853882,0.7211041450500488,0.65718013048172,0.5530121922492981,0.7191716432571411,0.7284017205238342
8,0.7179218530654907,0.6608855128288269,0.5557830333709717,0.7167167067527771,0.7239850759506226,0.7266249656677246,0.6645225882530212,0.5452075600624084,0.7247251272201538,0.7336351275444031
9,0.7243801951408386,0.6677828431129456,0.5485253930091858,0.7228724360466003,0.7309085726737976,0.7316041588783264,0.6710255146026611,0.5388922095298767,0.7263498902320862,0.7459295392036438
