epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.7540521025657654,0.7270200848579407,0.08327832072973251,0.7505228519439697,0.7636886239051819,0.770187497138977,0.7582355737686157,0.0781431794166565,0.7839202880859375,0.748006284236908
1,0.7818750143051147,0.7657539248466492,0.07561041414737701,0.7779853940010071,0.7910192012786865,0.7777916789054871,0.7708059549331665,0.07616844028234482,0.7736511826515198,0.7873401045799255
2,0.7939322590827942,0.7753434181213379,0.07192272692918777,0.7898407578468323,0.8029665946960449,0.7788124680519104,0.7785548567771912,0.07625433802604675,0.7759914994239807,0.7858863472938538
3,0.8048489689826965,0.781976580619812,0.0688972994685173,0.800363302230835,0.8141458630561829,0.777916669845581,0.7844589948654175,0.07656806707382202,0.7810222506523132,0.7743396162986755
4,0.8146562576293945,0.7873316407203674,0.06578624248504639,0.8108556270599365,0.8224706649780273,0.7745208144187927,0.7893785834312439,0.07816870510578156,0.7766459584236145,0.7726781964302063
5,0.8263958096504211,0.792110025882721,0.06268897652626038,0.8224151134490967,0.8341273665428162,0.7740208506584167,0.7941944003105164,0.07932883501052856,0.7691994905471802,0.7850140929222107
6,0.8357343673706055,0.7967614531517029,0.0597684271633625,0.8316681981086731,0.8433136940002441,0.7727500200271606,0.7987235188484192,0.08083032816648483,0.7620810866355896,0.7951902151107788
7,0.8461093902587891,0.801152229309082,0.057025983929634094,0.8420319557189941,0.8534030914306641,0.7709166407585144,0.8031235337257385,0.082716204226017,0.7606408596038818,0.7927396297454834
8,0.8537031412124634,0.8053940534591675,0.05444391444325447,0.8482996225357056,0.8627139329910278,0.7669582962989807,0.8071924448013306,0.08415606617927551,0.7555106282234192,0.7915351390838623
9,0.862234354019165,0.8093265891075134,0.05201517045497894,0.8574102520942688,0.8701460361480713,0.7651875019073486,0.8110154271125793,0.08637288212776184,0.7586764693260193,0.7799468636512756
