epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.4993359446525574,0.6669082641601562,0.6877105832099915,0.4993359446525574,1.0,0.5006666779518127,0.6661428213119507,0.6854462623596191,0.5006666779518127,1.0
1,0.4993359446525574,0.6662683486938477,0.6850306987762451,0.4993359446525574,1.0,0.5006666779518127,0.6662338972091675,0.6850942969322205,0.5006666779518127,1.0
2,0.4993359446525574,0.666266143321991,0.6842575669288635,0.4993359446525574,1.0,0.5006666779518127,0.666260838508606,0.6846075057983398,0.5006666779518127,1.0
3,0.4993359446525574,0.6663231253623962,0.6835120916366577,0.4993359446525574,1.0,0.5006666779518127,0.6662738919258118,0.6844367384910583,0.5006666779518127,1.0
4,0.4993359446525574,0.666303277015686,0.6829835772514343,0.4993359446525574,1.0,0.5006666779518127,0.6662815809249878,0.6843892335891724,0.5006666779518127,1.0
5,0.4993359446525574,0.6662964820861816,0.6827275156974792,0.4993359446525574,1.0,0.5006666779518127,0.6662870645523071,0.684879720211029,0.5006666779518127,1.0
6,0.4993359446525574,0.6663265824317932,0.6823669075965881,0.4993359446525574,1.0,0.5006666779518127,0.6662907004356384,0.6844424605369568,0.5006666779518127,1.0
7,0.4993359446525574,0.666281521320343,0.6823479533195496,0.4993359446525574,1.0,0.5006666779518127,0.6662949919700623,0.6844790577888489,0.5006666779518127,1.0
8,0.4993359446525574,0.6662923693656921,0.6822207570075989,0.4993359446525574,1.0,0.5006666779518127,0.6662984490394592,0.6844339966773987,0.5006666779518127,1.0
9,0.4993359446525574,0.6662707328796387,0.6819351315498352,0.4993359446525574,1.0,0.5006666779518127,0.6663004755973816,0.6845525503158569,0.5006666779518127,1.0
