epoch,accuracy,f1_score,loss,precision_2,recall_2,val_accuracy,val_f1_score,val_loss,val_precision_2,val_recall_2
0,0.7499062418937683,0.717799723148346,0.08416617661714554,0.7463456988334656,0.75725919008255,0.7701249718666077,0.7536316514015198,0.07817104458808899,0.7745333313941956,0.7582362294197083
1,0.7795156240463257,0.761549711227417,0.07608228921890259,0.7759512066841125,0.7860773205757141,0.7748125195503235,0.7669487595558167,0.0764869973063469,0.7677596807479858,0.7841395139694214
2,0.7908594012260437,0.7713849544525146,0.0725361630320549,0.7870820760726929,0.7975337505340576,0.7774999737739563,0.7747842073440552,0.07653295248746872,0.762300968170166,0.8026238679885864
3,0.8020208477973938,0.7782915234565735,0.0695740357041359,0.7984604835510254,0.8080736398696899,0.7768124938011169,0.7808836102485657,0.0766201764345169,0.7691771984100342,0.7871992588043213
4,0.8127812743186951,0.7838346362113953,0.06644778698682785,0.810227632522583,0.816978394985199,0.7761666774749756,0.7861130237579346,0.07746027410030365,0.7668484449386597,0.7897979617118835
5,0.8237083554267883,0.7888624668121338,0.06339257955551147,0.8211223483085632,0.8278099298477173,0.7752083539962769,0.7909870743751526,0.07893858104944229,0.7722499966621399,0.7768463492393494
6,0.833692729473114,0.7935183048248291,0.060538213700056076,0.8315964937210083,0.8369230031967163,0.7710208296775818,0.7954163551330566,0.08095615357160568,0.7762225866317749,0.7577751874923706
7,0.8413801789283752,0.7976231575012207,0.05782835930585861,0.8382955193519592,0.846004843711853,0.7711458206176758,0.7994909882545471,0.08251959830522537,0.7662681341171265,0.7763853073120117
8,0.8506197929382324,0.801698625087738,0.055337172001600266,0.8474565744400024,0.8552324771881104,0.7673125267028809,0.8034968972206116,0.08489441126585007,0.7560434341430664,0.7852292656898499
9,0.8585989475250244,0.8056135773658752,0.05296991392970085,0.8549150228500366,0.8638455867767334,0.7642916440963745,0.8072993159294128,0.08559050410985947,0.7564396262168884,0.7754631638526917
