epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
26,0.8697012662887573,"""[0.8705413]""",0.050153039395809174,0.8264569044113159,0.8365336656570435,0.7756176590919495,"""[0.7767192]""",0.08316463977098465,0.8268049955368042,0.8368699550628662
27,0.8701268434524536,"""[0.87087077]""",0.04995804280042648,0.8272302746772766,0.8372620940208435,0.7760514616966248,"""[0.7759856]""",0.0840437263250351,0.8275566101074219,0.837563157081604
28,0.871184766292572,"""[0.8719716]""",0.04967645928263664,0.8279659748077393,0.8379404544830322,0.7753823399543762,"""[0.77514255]""",0.0836431160569191,0.8282960653305054,0.8382191061973572
29,0.8717665672302246,"""[0.87245727]""",0.049432218074798584,0.8286976218223572,0.8385700583457947,0.7747021913528442,"""[0.7762022]""",0.08439461141824722,0.8289980292320251,0.8388559818267822
30,0.8726672530174255,"""[0.8733848]""",0.049218565225601196,0.8293346166610718,0.8392001390457153,0.7743124961853027,"""[0.7748563]""",0.08412182331085205,0.8296534419059753,0.8394840359687805
31,0.8733566403388977,"""[0.8740691]""",0.049015674740076065,0.8300250172615051,0.8398137092590332,0.7739852666854858,"""[0.77452254]""",0.08325475454330444,0.8302971124649048,0.8400699496269226
32,0.8739089965820312,"""[0.8746002]""",0.048831719905138016,0.8306659460067749,0.8403956890106201,0.774066150188446,"""[0.7753776]""",0.08533583581447601,0.8309096693992615,0.8406432271003723
33,0.8744338154792786,"""[0.8751408]""",0.04869186878204346,0.8312530517578125,0.840984046459198,0.7734227776527405,"""[0.77339864]""",0.08525191992521286,0.8314984440803528,0.8411951065063477
34,0.8749246597290039,"""[0.875579]""",0.04852064698934555,0.8318028450012207,0.8415084481239319,0.7728382349014282,"""[0.774848]""",0.08508345484733582,0.8320656418800354,0.8417159914970398
35,0.8754209280014038,"""[0.87602437]""",0.04833691939711571,0.8323371410369873,0.8420214056968689,0.7735698819160461,"""[0.77236223]""",0.085031658411026,0.832622766494751,0.8421981334686279
36,0.8761130571365356,"""[0.87673306]""",0.04814349114894867,0.8329246044158936,0.8424690365791321,0.772933840751648,"""[0.77306896]""",0.08506785333156586,0.8331804871559143,0.842650830745697
37,0.8766231536865234,"""[0.8772015]""",0.0480404831469059,0.8334702253341675,0.8429322242736816,0.772628664970398,"""[0.77433854]""",0.08698388934135437,0.83369380235672,0.8431122303009033
38,0.8768308758735657,"""[0.87742233]""",0.04792650789022446,0.8339657187461853,0.8433861136436462,0.7729595303535461,"""[0.77387154]""",0.08592349290847778,0.8341816663742065,0.8435680866241455
39,0.8775588274002075,"""[0.8782054]""",0.047716476023197174,0.8344458937644958,0.8438320755958557,0.7728897333145142,"""[0.7733347]""",0.08405551314353943,0.8346652984619141,0.8440117835998535
40,0.8775661587715149,"""[0.87814003]""",0.04767821729183197,0.8349154591560364,0.8442313075065613,0.772352933883667,"""[0.77454287]""",0.08737917244434357,0.8351210951805115,0.8444329500198364
41,0.8781167268753052,"""[0.87867266]""",0.0475824736058712,0.8353318572044373,0.8446397185325623,0.7719632387161255,"""[0.77296484]""",0.08707813173532486,0.8355618715286255,0.8448503613471985
42,0.8785918951034546,"""[0.8791756]""",0.04740920662879944,0.8357716798782349,0.8450430035591125,0.7718639969825745,"""[0.77108884]""",0.08631248772144318,0.8360045552253723,0.845224916934967
43,0.8788602948188782,"""[0.87940156]""",0.04736645147204399,0.8362354636192322,0.8454611301422119,0.7721728086471558,"""[0.7726935]""",0.08531375974416733,0.8364408612251282,0.8455797433853149
44,0.8789347410202026,"""[0.87953895]""",0.047235578298568726,0.8366919755935669,0.8457817435264587,0.7724926471710205,"""[0.77211225]""",0.08662965893745422,0.8368533849716187,0.8459342122077942
45,0.8795855045318604,"""[0.880193]""",0.04713260382413864,0.8371266722679138,0.8460755348205566,0.7718492746353149,"""[0.7728971]""",0.0858987420797348,0.8372504711151123,0.8462887406349182
46,0.8798869252204895,"""[0.8805489]""",0.04702639952301979,0.837458074092865,0.8464889526367188,0.7712573409080505,"""[0.77194816]""",0.08663123846054077,0.8376234769821167,0.846648097038269
47,0.8802886009216309,"""[0.8808918]""",0.046867918223142624,0.8377898335456848,0.8468692302703857,0.7717058658599854,"""[0.7720779]""",0.0869375467300415,0.8379955291748047,0.8469851613044739
48,0.8801727890968323,"""[0.88078403]""",0.04688951000571251,0.838189423084259,0.8471387624740601,0.7714521884918213,"""[0.7714766]""",0.08714929968118668,0.8383543491363525,0.8473021984100342
49,0.8805643320083618,"""[0.88110673]""",0.04676281288266182,0.838615894317627,0.8474705815315247,0.7710331082344055,"""[0.77146584]""",0.08765736222267151,0.8387102484703064,0.847603976726532
50,0.8805257081985474,"""[0.88112104]""",0.04672021046280861,0.8388856649398804,0.8477901816368103,0.7709816098213196,"""[0.772805]""",0.08681020885705948,0.8390396237373352,0.8479143381118774
51,0.8810808658599854,"""[0.8815945]""",0.046594783663749695,0.8391984701156616,0.8480451107025146,0.7709558606147766,"""[0.7707215]""",0.08628687262535095,0.8393714427947998,0.8482059836387634
52,0.8813501596450806,"""[0.88193005]""",0.046532999724149704,0.8396137356758118,0.848414957523346,0.7699117660522461,"""[0.76729727]""",0.08766288310289383,0.8397086262702942,0.8484569787979126
53,0.8815965056419373,"""[0.8821605]""",0.04647552967071533,0.8398839831352234,0.8485496044158936,0.7704264521598816,"""[0.7718791]""",0.08746621012687683,0.8400336503982544,0.8487164378166199
54,0.8819402456283569,"""[0.882475]""",0.046360183507204056,0.8401808142662048,0.8489282131195068,0.7702904343605042,"""[0.7699852]""",0.08737919479608536,0.8403379917144775,0.8489890694618225
55,0.8815707564353943,"""[0.8821706]""",0.04639124497771263,0.8405481576919556,0.8490837812423706,0.7699926495552063,"""[0.76991993]""",0.08752304315567017,0.8406355977058411,0.8492392301559448
56,0.88213050365448,"""[0.88268214]""",0.04626733064651489,0.8407533168792725,0.8494230508804321,0.7701470851898193,"""[0.77225035]""",0.08803988993167877,0.8409085273742676,0.8495011925697327
57,0.8822013139724731,"""[0.88278985]""",0.04622561112046242,0.8411133885383606,0.8496118187904358,0.7705661654472351,"""[0.76962095]""",0.08734560757875443,0.8411851525306702,0.8497528433799744
58,0.8820257186889648,"""[0.8825353]""",0.046304550021886826,0.8413053154945374,0.8499132394790649,0.7702794075012207,"""[0.76913697]""",0.08659931272268295,0.841474711894989,0.8499646782875061
59,0.8826103210449219,"""[0.8832166]""",0.046124283224344254,0.8416258096694946,0.8500456213951111,0.7710992693901062,"""[0.77194524]""",0.08699917793273926,0.8417434692382812,0.8501957654953003
