epoch,accuracy,f1_score,loss,precision_2,recall_2,val_accuracy,val_f1_score,val_loss,val_precision_2,val_recall_2
0,0.668874979019165,0.6391443610191345,0.5832598209381104,0.640441358089447,0.7754180431365967,0.7443124651908875,0.7063248753547668,0.5200784206390381,0.7419540286064148,0.7516614198684692
1,0.7477499842643738,0.7229627370834351,0.5155551433563232,0.7280265092849731,0.7938321828842163,0.7468958497047424,0.7332675457000732,0.5039593577384949,0.719125509262085,0.8128842115402222
2,0.7501406073570251,0.7389422655105591,0.5084008574485779,0.7297366857528687,0.7973406314849854,0.7485416531562805,0.7432130575180054,0.5042840242385864,0.7207635045051575,0.8140471577644348
3,0.7515989542007446,0.7457665801048279,0.5053340196609497,0.7333275675773621,0.7935000061988831,0.7486249804496765,0.7480580806732178,0.5029399991035461,0.7286051511764526,0.7949410080909729
4,0.7525364756584167,0.7495747804641724,0.5017400979995728,0.7337828278541565,0.7953788042068481,0.7502291798591614,0.751052975654602,0.5057251453399658,0.7304129004478455,0.7957301735877991
5,0.7553020715713501,0.7523065805435181,0.497940331697464,0.7365041971206665,0.7977246642112732,0.7471041679382324,0.7535176277160645,0.5091040134429932,0.7096933126449585,0.8390098214149475
6,0.7565000057220459,0.7545342445373535,0.49564313888549805,0.7381860613822937,0.7976001501083374,0.7516041398048401,0.7554061412811279,0.4998610019683838,0.7332003116607666,0.7935288548469543
7,0.7567968964576721,0.7560898065567017,0.49308913946151733,0.7383659482002258,0.7981087565422058,0.7505208253860474,0.7566205263137817,0.5004022121429443,0.7507147789001465,0.7524921298027039
8,0.7578593492507935,0.7570225596427917,0.4910429120063782,0.7402776479721069,0.7970707416534424,0.7515416741371155,0.757595956325531,0.49833500385284424,0.7339237332344055,0.7916597723960876
9,0.7599531412124634,0.758090078830719,0.4885857403278351,0.7429649233818054,0.7974963188171387,0.7536458373069763,0.7586330771446228,0.49966442584991455,0.7355327606201172,0.794525682926178
