epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.4997105002403259,"""[0.6664093]""",0.5110970139503479,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.4953781068325043,0.5011691451072693,1.0
1,0.4997105002403259,"""[0.6664093]""",0.4911709725856781,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.4910729229450226,0.5011691451072693,1.0
2,0.4997105002403259,"""[0.6664093]""",0.53499436378479,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.4853954017162323,0.5011691451072693,1.0
3,0.4997105002403259,"""[0.6664093]""",362109312.0,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.4845409095287323,0.5011691451072693,1.0
4,0.4997105002403259,"""[0.6664093]""",12635882.0,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.48770031332969666,0.5011691451072693,1.0
5,0.4997105002403259,"""[0.6664093]""",245441986560.0,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.48492348194122314,0.5011691451072693,1.0
6,0.4997105002403259,"""[0.6664093]""",304328441856.0,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.48902469873428345,0.5011691451072693,1.0
7,0.4997105002403259,"""[0.6664093]""",1559741935386624.0,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.4998169243335724,0.5011691451072693,1.0
8,0.4997105002403259,"""[0.6664093]""",2084501844918272.0,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",0.5015239715576172,0.5011691451072693,1.0
9,0.4997105002403259,"""[0.6664093]""",222962976292864.0,0.4997105002403259,1.0,0.5011691451072693,"""[0.66770506]""",28.184894561767578,0.5011691451072693,1.0
