epoch,accuracy,f1_score,loss,precision_3,recall_3,val_accuracy,val_f1_score,val_loss,val_precision_3,val_recall_3
0,0.7802483439445496,0.765514075756073,0.07505194842815399,0.7572080492973328,0.8212800025939941,0.7944400310516357,0.7884810566902161,0.07072371244430542,0.7984457015991211,0.7865955829620361
1,0.8035374283790588,0.7941213250160217,0.06808703392744064,0.7814202308654785,0.8396648168563843,0.8023597598075867,0.7984859943389893,0.06834140419960022,0.788698673248291,0.8249065279960632
2,0.8139661550521851,0.8021814823150635,0.06497333943843842,0.7920152544975281,0.8486207723617554,0.8014340996742249,0.8046372532844543,0.06851953268051147,0.799227237701416,0.8040283918380737
3,0.8232009410858154,0.8074110746383667,0.06240463629364967,0.8014742136001587,0.856505274772644,0.8031678795814514,0.8095253705978394,0.06793782114982605,0.7788959741592407,0.8455490469932556
4,0.8311648368835449,0.8120452761650085,0.059936992824077606,0.8104982972145081,0.8618847131729126,0.8018601536750793,0.8137574791908264,0.06920403242111206,0.7806656956672668,0.8384817242622375
5,0.8390111327171326,0.8158631324768066,0.057753175497055054,0.8179771304130554,0.8696805834770203,0.8010079860687256,0.8174865245819092,0.07002250105142593,0.7895722389221191,0.8196354508399963
6,0.8462293148040771,0.8193312287330627,0.05573136359453201,0.8253097534179688,0.8761167526245117,0.7990684509277344,0.8208564519882202,0.07082976400852203,0.7811754941940308,0.8297358751296997
7,0.8533005118370056,0.8226291537284851,0.05378719046711922,0.8328506350517273,0.8818878531455994,0.7993329167366028,0.8240584135055542,0.07161245495080948,0.780631422996521,0.8315026760101318
8,0.8584505915641785,0.8256921172142029,0.052022770047187805,0.8380681872367859,0.886557936668396,0.7957477569580078,0.8269573450088501,0.07307141274213791,0.779639720916748,0.8233752250671387
9,0.8641442656517029,0.8284703493118286,0.050364792346954346,0.8431174159049988,0.8928463459014893,0.7949396371841431,0.8296688795089722,0.07529949396848679,0.7815024256706238,0.8176330327987671
