epoch,accuracy,f1_score,loss,precision_1,recall_1,val_accuracy,val_f1_score,val_loss,val_precision_1,val_recall_1
0,0.7773132920265198,0.7645312547683716,0.0756814032793045,0.754857063293457,0.8164390921592712,0.7913985252380371,0.7860131859779358,0.07151520997285843,0.7679508924484253,0.8347302079200745
1,0.8013554811477661,0.7929231524467468,0.06879469752311707,0.7781255841255188,0.8389623165130615,0.7962032556533813,0.7965331673622131,0.0702139362692833,0.7836794257164001,0.8178797364234924
2,0.8116776347160339,0.8002083897590637,0.0658194050192833,0.7898041009902954,0.8455793857574463,0.7970995306968689,0.8025656938552856,0.06964393705129623,0.7699711322784424,0.8469342589378357
3,0.820258617401123,0.8052769303321838,0.06322351098060608,0.7986635565757751,0.8528181910514832,0.7981868386268616,0.8073400259017944,0.07019887864589691,0.7727395296096802,0.8444346189498901
4,0.828321635723114,0.8097760081291199,0.06080542504787445,0.8070905804634094,0.8595166802406311,0.7976431846618652,0.8113402128219604,0.07044892758131027,0.7815535068511963,0.825819730758667
5,0.8357565402984619,0.8133852481842041,0.058730605989694595,0.8153515458106995,0.8649346828460693,0.7969526052474976,0.8148231506347656,0.07135429978370667,0.7808916568756104,0.8251433372497559
6,0.8427579402923584,0.8166204690933228,0.05656173452734947,0.8226989507675171,0.8708412051200867,0.7942783832550049,0.8180062174797058,0.07267022877931595,0.7814135551452637,0.8167328238487244
7,0.849979817867279,0.819733738899231,0.05459657311439514,0.8294020891189575,0.878390908241272,0.7933233380317688,0.8210716843605042,0.0738728791475296,0.7769690155982971,0.8224378824234009
8,0.8550637364387512,0.8226293921470642,0.052893493324518204,0.8344627618789673,0.8831575512886047,0.7910017967224121,0.8238402009010315,0.0750010758638382,0.7776748538017273,0.8145861029624939
9,0.8611578345298767,0.8253212571144104,0.05118054896593094,0.8410629630088806,0.8880574107170105,0.7910899519920349,0.8265385627746582,0.07570594549179077,0.7668077945709229,0.8361711502075195
