epoch,accuracy,f1_score,loss,precision_1,recall_1,val_accuracy,val_f1_score,val_loss,val_precision_1,val_recall_1
0,0.5461822748184204,0.5723419189453125,0.6883678436279297,0.5403793454170227,0.6394087672233582,0.551354169845581,0.5865662097930908,0.6863673329353333,0.5440396666526794,0.6518939733505249
1,0.5561406016349792,0.5924602150917053,0.6850385665893555,0.5469280481338501,0.6725002527236938,0.5509374737739563,0.5947471857070923,0.6863629221916199,0.5420854091644287,0.6743645071983337
2,0.5641093850135803,0.5978386402130127,0.6813921332359314,0.554171621799469,0.6715245246887207,0.5512916445732117,0.5987695455551147,0.6863532662391663,0.5416502356529236,0.6854543685913086
3,0.576213538646698,0.6008687615394592,0.674260139465332,0.5648149847984314,0.6771401166915894,0.5496041774749756,0.6019021272659302,0.6913740038871765,0.5455557107925415,0.6110649704933167
4,0.592369794845581,0.6039909720420837,0.6627252101898193,0.5783401131629944,0.692502498626709,0.5441041588783264,0.6058807969093323,0.7004415392875671,0.5365707278251648,0.6682173013687134
5,0.6112604141235352,0.6085963845252991,0.6477299928665161,0.5950572490692139,0.7050519585609436,0.5406041741371155,0.6106212139129639,0.709571123123169,0.5351038575172424,0.641053318977356
6,0.6279739737510681,0.6132276654243469,0.6309820413589478,0.6099410653114319,0.7172484397888184,0.5377708077430725,0.615490198135376,0.7278441786766052,0.5313798189163208,0.664313018321991
7,0.6419270634651184,0.6181392073631287,0.6132283806800842,0.6221736669540405,0.7291854619979858,0.5365833044052124,0.620416522026062,0.737179696559906,0.5306313633918762,0.6590795516967773
8,0.6566458344459534,0.6232786178588867,0.5955027341842651,0.63407301902771,0.7465408444404602,0.5356458425521851,0.6255306005477905,0.7678619623184204,0.5293018221855164,0.6703771352767944
9,0.6664270758628845,0.6282100677490234,0.5785300135612488,0.6420583724975586,0.7575021386146545,0.5326458215713501,0.6303003430366516,0.7780907154083252,0.5277956128120422,0.6479066014289856
