epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.501786470413208,0.663042426109314,0.004915873985737562,0.5017800331115723,0.9977786540985107,0.5015833377838135,0.6676865220069885,0.000307558017084375,0.5015833377838135,1.0
1,0.5017656087875366,0.6677669286727905,0.000160979077918455,0.5017656087875366,1.0,0.5015833377838135,0.6679563522338867,4.843294300371781e-05,0.5015833377838135,1.0
2,0.5017656087875366,0.6681379675865173,4.084244210389443e-05,0.5017656087875366,1.0,0.5015833377838135,0.6680408716201782,1.0887721145991236e-05,0.5015833377838135,1.0
3,0.5017656087875366,0.6680729985237122,1.6276268070214428e-05,0.5017656087875366,1.0,0.5015833377838135,0.668082058429718,2.2235908545553684e-06,0.5015833377838135,1.0
4,0.5017656087875366,0.6681279540061951,5.357246209314326e-06,0.5017656087875366,1.0,0.5015833377838135,0.6681062579154968,4.799836617053188e-08,0.5015833377838135,1.0
5,0.5017656087875366,0.6680892705917358,1.6168235106306383e-06,0.5017656087875366,1.0,0.5015833377838135,0.668122410774231,-5.29310511865333e-07,0.5015833377838135,1.0
6,0.5017656087875366,0.668154776096344,7.226162779261358e-07,0.5017656087875366,1.0,0.5015833377838135,0.6681342720985413,-7.30635974832694e-07,0.5015833377838135,1.0
7,0.5017656087875366,0.6681767702102661,-2.417236828478053e-07,0.5017656087875366,1.0,0.5015833377838135,0.6681424975395203,-7.795603664817463e-07,0.5015833377838135,1.0
8,0.5017656087875366,0.6681356430053711,-5.480563913806691e-07,0.5017656087875366,1.0,0.5015833377838135,0.6681491732597351,-7.955989076435799e-07,0.5015833377838135,1.0
9,0.5017656087875366,0.668157160282135,-6.296668857430632e-07,0.5017656087875366,1.0,0.5015833377838135,0.6681539416313171,-8.010279657355568e-07,0.5015833377838135,1.0
